Ref,Mid X,Mid Y,Layer,Rotation
C201,128.82,-128.63,top,0
C202,122.27,-122.98,top,90
C203,126.07,-124.98,top,-90
C204,134.67,-126.98,top,90
C205,145.82,-120.38,top,0
C206,150.82,-126.38,top,90
C301,155.83,-126.555,top,-90
C302,153.82,-126.38,top,90
C303,186.17,-129.91,top,-90
C304,155.242,-131.86,top,-90
C305,186.17,-139.41,top,-90
C401,186.85,-110.68,top,90
C402,188.35,-111.205,top,-90
C403,177.075,-110.43,top,180
C404,180.35,-112.93,top,180
C405,178.4,-101.7,top,-90
C406,186.79,-101.71,top,-90
C407,172.365,-97.23,top,90
C408,178.1,-108.155,top,-90
C409,129.37,-110.93,top,90
C410,130.85,-111.155,top,-90
C411,119.37,-110.93,top,180
C412,121.8,-112.93,top,180
C413,120,-102.075,top,-90
C414,129.27,-102.905,top,-90
C415,115.67,-98.43,top,90
C416,119.85,-108.155,top,-90
C417,158.07,-110.93,top,90
C418,159.72,-111.155,top,-90
C419,149.245,-110.43,top,180
C420,151.27,-113.18,top,180
C421,149.97,-102,top,-90
C422,158.47,-103.155,top,-90
C423,145.47,-98.93,top,90
C424,149.27,-107.93,top,-90
D201,140.32,-120.38,top,90
D301,161.62,-138.3175,top,90
D302,165.07,-138.4425,top,-90
D303,152.82,-135.13,top,0
D304,157.27,-140.4425,top,90
D401,169.52,-106.905,top,-90
D402,110.07,-103.93,top,90
D403,139.6,-101.93,top,90
J201,112.67,-130.63,top,90
J202,139.67,-145.38,top,-90
J203,112.67,-120.07,top,90
J206,124.07,-145.33,top,-90
J207,117.845,-145.33,top,-90
J301,185.39,-145.205,top,-90
J302,163.67,-143.9675,top,0
J303,173.31,-145.205,top,-90
J304,155.35,-145.205,top,-90
J305,148.35,-145.205,top,-90
J401,190.72,-84.93,top,180
J402,132.71,-84.93,top,180
J403,161.72,-84.93,top,180
L201,131.67,-136.98,top,0
R201,142.17,-119.965,top,-90
R202,127.045,-120.68,top,0
R203,131.97,-121.53,top,-90
R204,129.32,-122.63,top,0
R301,153.742,-131.705,top,90
R302,182.82,-139.205,top,-90
R303,180.31,-139.205,top,-90
R304,167.82,-138.055,top,90
R401,190.87,-111.23,top,-90
R402,173.1,-104.93,top,180
R403,184.97,-115.43,top,90
R404,184.85,-101.18,top,90
R405,180.85,-101.18,top,90
R406,183.49,-115.43,top,90
R407,133.27,-109.505,top,-90
R408,186.47,-115.43,top,90
R409,180.795,-117.83,top,180
R410,114.85,-105.93,top,180
R411,126.47,-115.105,top,90
R412,164.27,-109.105,top,-90
R413,127.27,-101.905,top,90
R414,122.27,-101.6,top,90
R415,124.97,-115.105,top,90
R416,127.97,-115.105,top,90
R417,144.645,-105.93,top,180
R418,155.47,-114.755,top,90
R419,157.545,-117.83,top,0
R420,156.26,-102.0675,top,90
R421,151.97,-101.4675,top,90
R422,153.97,-114.755,top,90
R423,156.97,-114.755,top,90
R424,133.77,-116.33,top,0
RV401,191.17,-106.83,top,-90
RV402,135.17,-103.53,top,180
RV403,164.72,-104.03,top,180
SW301,189.795,-129.93,top,-90
SW302,189.67,-139.43,top,-90
U201,128.9575,-125.68,top,180
U202,145.82,-126.53,top,-90
U301,163.72,-126.68,top,0
U401,182.85,-108.33,top,0
U402,124.97,-108.43,top,0
U403,154.22,-108.33,top,0
